"city","time","temp","humidity","weather_description","wind_speed","clouds","precipitation_prob","rain","partition_id"
"Atlanta","2025-08-23 09:00:00","71.15","91","overcast clouds","6.15","95","0.0",,"forecast"
"Atlanta","2025-08-27 00:00:00","66.33","62","overcast clouds","4.92","100","0.0",,"forecast"
"Atlanta","2025-08-22 15:00:00","72.32","82","light rain","5.7","99","0.23","0.11","forecast"
"Atlanta","2025-08-25 00:00:00","81.73","57","light rain","2.44","67","1.0","0.22","forecast"
"Atlanta","2025-08-25 21:00:00","88.34","21","broken clouds","11.86","59","0.0",,"forecast"
"Atlanta","2025-08-24 12:00:00","69.93","90","broken clouds","4.29","60","0.0",,"forecast"
"Atlanta","2025-08-25 21:00:00","87.19","20","scattered clouds","12.41","39","0.0",,"forecast"
"Atlanta","2025-08-27 03:00:00","72.23","42","overcast clouds","6.8","100","0.0",,"forecast"
"Atlanta","2025-08-24 12:00:00","69.98","83","overcast clouds","3.71","85","0.0",,"forecast"
"Atlanta","2025-08-26 18:00:00","62.51","75","light rain","3.47","100","0.63","0.68","forecast"
"Atlanta","2025-08-27 03:00:00","72.7","38","overcast clouds","9.06","100","0.0",,"forecast"
"Atlanta","2025-08-26 15:00:00","70.74","37","overcast clouds","5.08","100","0.0",,"forecast"
"Atlanta","2025-08-22 18:00:00","75.42","82","light rain","5.91","97","1.0","2.67","forecast"
"Atlanta","2025-08-23 06:00:00","69.49","95","light rain","4.81","100","1.0","0.51","forecast"
"Atlanta","2025-08-26 12:00:00","69.28","41","overcast clouds","4.38","100","0.0",,"forecast"
"Atlanta","2025-08-22 21:00:00","78.22","79","moderate rain","8.16","99","1.0","5.76","forecast"
"Atlanta","2025-08-24 18:00:00","87.19","47","light rain","2.17","47","0.38","0.19","forecast"
"Atlanta","2025-08-26 09:00:00","68.0","46","overcast clouds","7.83","86","0.0",,"forecast"
"Atlanta","2025-08-27 00:00:00","76.14","35","overcast clouds","9.15","90","0.0",,"forecast"
"Atlanta","2025-08-23 03:00:00","73.72","90","overcast clouds","6.15","100","0.0",,"forecast"
"Atlanta","2025-08-25 03:00:00","79.43","62","scattered clouds","3.02","48","0.0",,"forecast"
"Atlanta","2025-08-23 21:00:00","81.55","64","light rain","7.14","72","1.0","1.29","forecast"
"Atlanta","2025-08-27 00:00:00","74.77","36","overcast clouds","8.12","100","0.0",,"forecast"
"Atlanta","2025-08-24 09:00:00","70.36","94","broken clouds","3.33","77","0.0",,"forecast"
"Atlanta","2025-08-25 09:00:00","72.52","77","clear sky","6.89","0","0.0",,"forecast"
"Atlanta","2025-08-25 06:00:00","74.95","77","broken clouds","6.64","75","0.83",,"forecast"
"Atlanta","2025-08-26 03:00:00","72.21","43","broken clouds","9.31","68","0.0",,"forecast"
"Atlanta","2025-08-26 15:00:00","78.06","29","overcast clouds","4.68","100","0.0",,"forecast"
"Atlanta","2025-08-25 00:00:00","77.13","80","light rain","5.61","62","1.0","2.47","forecast"
"Atlanta","2025-08-24 06:00:00","72.05","85","scattered clouds","5.53","47","0.0",,"forecast"
"Atlanta","2025-08-25 18:00:00","88.43","25","clear sky","10.47","0","0.0",,"forecast"
"Atlanta","2025-08-26 03:00:00","76.17","40","overcast clouds","10.33","99","0.0",,"forecast"
"Atlanta","2025-08-23 18:00:00","80.19","67","light rain","7.74","87","1.0","1.47","forecast"
